Pregunta,Respuesta,Categoría
¿Dónde se encuentra la Clínica Montefiori?,"La Clínica Montefiori está ubicada en Lima, en la Av. Separadora Industrial N° 380, Urb. Los Cactus, La Molina.",Ubicación
¿Cuál es el número telefónico de la Clínica Ricardo Palma sede Comas?,El número telefónico es 525-6969.,Contacto
¿Qué clínicas en San Isidro forman parte de la red IPRESS?,"En San Isidro están la Clínica Limatambo (Av. República de Panamá N° 3606), MEDEX (Av. República de Panamá N° 3065), Clínica Los Andes (Cl. Asunción N° 177), y otras como Clínica Javier Prado y Medicentro San Isidro.",Ubicación
¿Cuál es la dirección de la Clínica San Gabriel en San Miguel?,"Se encuentra en la Av. La Marina N° 2955, Urb. Maranga II Etapa, San Miguel, Lima.",Ubicación
¿Qué clínicas de Arequipa están incluidas en la red?,"Entre las clínicas en Arequipa están la Clínica Arequipa, Clínica del Sur - SANNA, Clínica Vallesur - AUNA, Hogar Clínica San Juan de Dios, entre otras.",Ubicación
¿Hay atención médica en provincia dentro de la red IPRESS?,"Sí, la red incluye clínicas en regiones como Arequipa, Cusco, Cajamarca, Chiclayo, Iquitos, Huancayo, Trujillo, entre otras.",Cobertura
¿En qué dirección se encuentra la Clínica Javier Prado?,"Está ubicada en Av. Javier Prado Este N° 499, San Isidro, Lima.",Ubicación
¿Qué clínicas de San Juan de Lurigancho están en la red?,"En SJL se encuentran la Clínica Limatambo (Av. Próceres de la Independencia N° 2701), Clínica San Miguel Arcángel (Jr. Las Gardenias N° 754), y Clínica Nuevo San Juan.",Ubicación
¿Cuál es el número de contacto de la Clínica Stella Maris?,El número de contacto es 463-6666.,Contacto
¿Qué clínicas forman parte del grupo SANNA?,"Algunas clínicas SANNA son: Clínica del Sur en Arequipa, Centro Clínico La Molina, Clínica Belén en Piura, y Centro Clínico SANNA en Talara y Cajamarca.",Red Institucional
