Pregunta,Respuesta,Categoría,Fuente
¿Qué es la movilidad académica estudiantil en la UPAO?,"Es el desplazamiento temporal de estudiantes de pregrado o posgrado a otra institución con convenio vigente, para cursar asignaturas homologables.",Definición,Reglamento de Movilidad Académica de Estudiantes (Art. 1-2)
¿Qué tipos de movilidad académica se reconocen en la UPAO?,"Movilidad presencial (por estancias cortas o semestre) y no presencial (virtual), según la duración y modalidad.",Tipos de movilidad,Reglamento de Movilidad Académica de Estudiantes (Art. 12)
¿Qué requisitos debe cumplir un estudiante para postular a movilidad académica?,"Ser estudiante regular, estar entre 4.° y 8.° ciclo (o según facultad), pertenecer al tercio/quinto superior, y no tener sanciones ni deudas.",Postulación,Reglamento de Movilidad Académica de Estudiantes (Art. 14)
¿Qué es una estancia corta de movilidad presencial?,"Una movilidad académica de duración mínima de una semana y menor de cuatro meses, que puede ser misión, evento o investigación.",Estancias cortas,Reglamento de Movilidad Académica de Estudiantes (Art. 12.1.1)
¿Qué documentos debe presentar un postulante a movilidad presencial?,"Solicitud formal, carta de presentación, cuadro de equivalencias, carta de motivación, carta de compromiso familiar y certificado de salud.",Requisitos,Reglamento de Movilidad Académica de Estudiantes (Art. 14)
¿Se otorgan subvenciones a estudiantes que postulan a movilidad?,"Sí, si son del primer o segundo puesto y no cuentan con recursos. La subvención se autoriza por resolución rectoral.",Subvenciones,"Reglamento de Movilidad Académica de Estudiantes (Art. 10, 16)"
¿Qué sucede si el estudiante renuncia a la movilidad académica?,"Debe comunicar por escrito. Si es injustificada, pierde la subvención y queda impedido de postular nuevamente.",Renuncia,Reglamento de Movilidad Académica de Estudiantes (Art. 21)
¿Qué es la homologación de asignaturas?,"Es el reconocimiento de las calificaciones obtenidas en la institución de destino, sin necesidad de trabajos adicionales.",Homologación,Reglamento de Movilidad Académica de Estudiantes (Art. 23)
¿Cuáles son los deberes de un estudiante en movilidad saliente?,"Incorporarse en la fecha indicada, presentar documentos, tener seguro médico y cumplir normas de la institución destino.",Deberes,Reglamento de Movilidad Académica de Estudiantes (Art. 20)
¿Puedo llevar cursos en la UPAO mientras realizo movilidad no presencial?,"Sí, siempre que la suma de créditos no exceda el límite permitido en su plan de estudios.",Compatibilidad,Reglamento de Movilidad Académica de Estudiantes (Art. 17.e)
¿Qué derechos tienen los estudiantes de entrada en la UPAO?,"Tienen los mismos derechos que los estudiantes ordinarios, salvo derechos electorales y acceso a becas.",Derechos,Reglamento de Movilidad Académica de Estudiantes (Art. 28)
¿Qué debe hacer un estudiante de entrada al llegar a la UPAO?,"Incorporarse en la fecha, presentar documentos y contar con seguros exigidos.",Deberes,Reglamento de Movilidad Académica de Estudiantes (Art. 28)
¿Qué requisitos debe cumplir una movilidad académica virtual?,"Estar dentro de convenio vigente, cumplir requisitos académicos y contar con acceso a plataformas digitales.",Virtualidad,Reglamento de Movilidad Académica de Estudiantes (Art. 12.2)
¿Cómo se realiza la matrícula del estudiante saliente?,"Se realiza a través de la Oficina de Evaluación Académica y Registro Técnico, basada en el documento de equivalencias.",Matrícula,Reglamento de Movilidad Académica de Estudiantes (Art. 18)
¿Qué actividades incluye la movilidad académica no presencial?,"Eventos académicos, estancias de investigación, y cursos dictados virtualmente por instituciones en convenio.",Actividades virtuales,Reglamento de Movilidad Académica de Estudiantes (Art. 12.2.1)
¿Qué datos se incluyen en la constancia de notas?,"Asignaturas cursadas, calificaciones y datos personales del estudiante. Se remite oficialmente a la institución de origen.",Evaluación,Reglamento de Movilidad Académica de Estudiantes (Art. 31)
¿Cómo se aprueba la movilidad académica de entrada?,"Mediante resolución rectoral, previa evaluación de los expedientes por parte de las facultades.",Admisión,Reglamento de Movilidad Académica de Estudiantes (Art. 26)
¿Quién gestiona el programa de movilidad académica?,La Oficina de Relaciones Exteriores en coordinación con las facultades y el Vicerrectorado Académico.,Gestión,Reglamento de Movilidad Académica de Estudiantes (Art. 11)
¿Qué sucede si no completo el expediente de postulación?,No puedes continuar con el proceso a menos que subsanes dentro del plazo.,Postulación,"Reglamento de Movilidad Académica de Estudiantes (Art. 14, 15)"
¿Qué pasa si tengo una retención económica en la UPAO?,No puedes participar en el programa de movilidad hasta regularizar tu situación.,Requisitos,Reglamento de Movilidad Académica de Estudiantes (Art. 14.l)
